date,action,confidence,price,reasoning,notes
2025-11-21 09:30:00,BUY,N/A,589.31,N/A,Reconstructed (Old Model)
2025-11-28 09:30:00,BUY,N/A,618.45,N/A,Reconstructed (Old Model)
2025-12-05 09:30:00,BUY,N/A,624.68,N/A,Reconstructed (Old Model)
2025-12-12 09:30:00,BUY,N/A,612.83,N/A,Reconstructed (Old Model)
2025-12-19 09:30:00,BUY,N/A,616.26,N/A,Reconstructed (Old Model)
2025-12-27 15:01:39,SELL,1.9%,623.89,Model detected potential downturn/overextension.,Live Signal (Tuned Model)
2025-12-29 18:54:33,HOLD,0.1%,620.87,"Neutral RSI (54), Positive Trend (Price > 100MA), Low Volatility (VIX 14). No clear edge.",Auto-generated
2025-12-31 14:56:26,SELL,1.6%,616.29,"Neutral RSI (50), Positive Trend, VIX 15.",Auto-generated
2026-01-02 17:02:33,HOLD,0.4%,613.12,"Neutral RSI (47), Positive Trend, VIX 15.",Auto-generated
2026-01-08 18:06:29,SELL,1.3%,620.47,"Neutral RSI (53), Positive Trend, VIX 15.",Auto-generated
2026-01-11 15:20:00,HOLD,0.4%,626.65,"Neutral RSI (58), Positive Trend, VIX 14.",Auto-generated
2026-01-14 20:28:12,HOLD,0.6%,619.55,"Neutral RSI (50), Positive Trend, VIX 17.",Auto-generated
